PostingID,drug_cui
1881,C0244821
1882,C0244821
1883,C0244821
1884,C0244821
1885,C0244821
1886,C0244821
1887,C0244821
1888,C0244821
1889,C0244821
1890,C0244821
1891,C0244821
1892,C0244821
1893,C0244821
1894,C0244821
1895,C0244821
1896,C0244821
1897,C0244821
1898,C0244821
1899,C0244821
19,C0005088
19,C0055881
1900,C0244821
1901,C0244821
1902,C0244821
1903,C0244821
1904,C0244821
1905,C0244821
1906,C0244821
1907,C0244821
1908,C0244821
1910,C0244821
1911,C0244821
1912,C0244821
1913,C0244821
1914,C0289313
1915,C0289313
1916,C0289313
1917,C0289313
1918,C0289313
1919,C0289313
1920,C0075632
1921,C0075632
1922,C3709474
1923,C3709474
1924,C3709474
1925,C3709474
1926,C3709474
1927,C3709474
1928,C3709474
1929,C3709474
1930,C3709474
1931,C3709474
1932,C3709474
1933,C0249458
1934,C0249458
1935,C0249458
1936,C0249458
1938,C0249458
1939,C0249458
1940,C0249458
1941,C0249458
1942,C0249458
1943,C0249458
1944,C0249458
1945,C0249458
1946,C0249458
1947,C0249458
1948,C2935023
19523,C1831905
19531,C0083381
19532,C0117996
19536,C1948374
19536,C2935023
19536,C3709474
19537,C1948374
19537,C2935023
19538,C1723401
19539,C0064636
19540,C0903411
19557,C1948374
19557,C2935023
19583,C0073992
19583,C0117996
19588,C2607479
19592,C0903411
19595,C1948374
19595,C2935023
19611,C3253985
19612,C3253985
19613,C0209738
19614,C0541315
19615,C0541315
19625,C0085208
19638,C0065023
19652,C2986924
19653,C2986924
19654,C2698764
19655,C2698764
19656,C2698764
19657,C2698764
19658,C2698764
19659,C2698764
19670,C0305062
19671,C1099776
19672,C1099664
19673,C4519188
19683,C1948374
19683,C2935023
19683,C3709474
19684,C0969324
19685,C0069751
19686,C0541315
19687,C0541315
19688,C3179547
19695,C3253985
19696,C1566826
19696,C3253985
19758,C0008809
19762,C0073992
19762,C0117996
19763,C1948374
19763,C2935023
19764,C1948374
19764,C2935023
19766,C1723401
19767,C1723401
19790,C1506770
19797,C1667052
19798,C1667052
19799,C2607479
19800,C1723401
19813,C1699926
1982,C2347566
1983,C2347566
19831,C4519188
19834,C4519188
19835,C0903411
19846,C4519188
19847,C0541315
1986,C2347566
1987,C2347566
19878,C1948374
19878,C2935023
19879,C1723401
1988,C2347566
19881,C1948374
19881,C2935023
19888,C1721377
19889,C1667052
1989,C2347566
19895,C2607479
19896,C0969324
19897,C2697961
1990,C2347566
19907,C0939537
19908,C0246421
19909,C0257685
19925,C0969324
19938,C0903411
19939,C0969324
19940,C3253985
19941,C3253985
19970,C0527316
19971,C0527316
19972,C0527316
19973,C0527316
19974,C0527316
19975,C0527316
19976,C0527316
19977,C0527316
19978,C0527316
19979,C0527316
19980,C0527316
19986,C2718773
19987,C4082411
20,C0008992
2000,C3253985
20036,C1832027
20037,C0541315
20055,C1723401
20057,C0969324
20059,C0969324
20060,C0969324
20062,C4519188
20064,C0879399
20065,C0070122
20066,C0070122
20067,C0070122
20068,C0070122
